season,match_id,match_date,kick_off,stage,stage_display,is_knockout,team_a,team_b,team_a_group,team_b_group,team_a_manager,team_b_manager,team_a_country,team_b_country,team_a_score,team_b_score,scoreline_90m,target_result_90m,stadium,host_country,referee
2022,3857259,2022-11-28,10:00:00.000,group,Group Stage,0,Cameroon,Serbia,G,G,Rigobert Song Bahanag,Dragan Stojković,Cameroon,Serbia,3,3,3-3,1,Al Janoub Stadium   ,Qatar,Mohamed Abdulla Hassan Mohd
2022,3857299,2022-11-28,13:00:00.000,group,Group Stage,0,South Korea,Ghana,H,H,Paulo Bento,Otto Addo,Korea (South),Ghana,2,3,2-3,2,Education City Stadium ,Qatar,Anthony Taylor
2022,3857269,2022-11-28,16:00:00.000,group,Group Stage,0,Brazil,Switzerland,G,G,Tite,Murat Yakin,Brazil,Switzerland,1,0,1-0,0,Stadium 974,Qatar,Ivan Arcides Barton Cisneros
2022,3857270,2022-11-28,19:00:00.000,group,Group Stage,0,Portugal,Uruguay,H,H,Fernando Santos,Diego Alonso,Portugal,Uruguay,2,0,2-0,0,Lusail Stadium,Qatar,Alireza Faghani
2022,3857267,2022-11-29,15:00:00.000,group,Group Stage,0,Ecuador,Senegal,A,A,Gustavo Alfaro,Aliou Cissé,Ecuador,Senegal,1,2,1-2,2,Sheikh Khalifa International Stadium,Qatar,Clément Turpin
2022,3857294,2022-11-29,15:00:00.000,group,Group Stage,0,Netherlands,Qatar,A,A,Louis van Gaal,Félix Sánchez,Netherlands,Qatar,2,0,2-0,0,Al Bayt Stadium,Qatar,Bakary Papa Gassama
2022,3857261,2022-11-29,19:00:00.000,group,Group Stage,0,Wales,England,B,B,Robert Page,Gareth Southgate,Wales,England,0,3,0-3,2,Ahmad bin Ali Stadium,Qatar,Slavko Vinčić
2022,3857278,2022-11-29,19:00:00.000,group,Group Stage,0,Iran,United States,B,B,Carlos Queiroz,Gregg Berhalter,"Iran, Islamic Republic of",United States of America,0,1,0-1,2,Al Thumama Stadium,Qatar,Antonio Miguel Mateu Lahoz
2022,3857257,2022-11-30,15:00:00.000,group,Group Stage,0,Australia,Denmark,D,D,Graham James Arnold,Kasper Hjulmand,Australia,Denmark,1,0,1-0,0,Al Janoub Stadium   ,Qatar,Mustapha Ghorbal
2022,3857275,2022-11-30,15:00:00.000,group,Group Stage,0,Tunisia,France,D,D,Jalel Kadri,Didier Deschamps,Tunisia,France,1,0,1-0,0,Education City Stadium ,Qatar,Matthew Conger
2022,3857260,2022-11-30,19:00:00.000,group,Group Stage,0,Saudi Arabia,Mexico,C,C,Hervé Renard,Gerardo Martino,Saudi Arabia,Mexico,1,2,1-2,2,Lusail Stadium,Qatar,Michael Oliver
2022,3857264,2022-11-30,19:00:00.000,group,Group Stage,0,Poland,Argentina,C,C,Czesław Michniewicz,Lionel Sebastián Scaloni,Poland,Argentina,0,2,0-2,2,Stadium 974,Qatar,Danny Desmond Makkelie
2022,3857276,2022-12-01,15:00:00.000,group,Group Stage,0,Canada,Morocco,F,,John Herdman,Walid Regragui,Canada,Morocco,1,2,1-2,2,Al Thumama Stadium,Qatar,Raphael Claus
2022,3857296,2022-12-01,15:00:00.000,group,Group Stage,0,Croatia,Belgium,F,F,Zlatko Dalić,Roberto Martínez,Croatia,Belgium,0,0,0-0,1,Ahmad bin Ali Stadium,Qatar,Anthony Taylor
2022,3857255,2022-12-01,19:00:00.000,group,Group Stage,0,Japan,Spain,E,E,Hajime Moriyasu,Luis Enrique,Japan,Spain,2,1,2-1,0,Sheikh Khalifa International Stadium,Qatar,Victor Miguel de Freitas Gomes
2022,3857292,2022-12-01,19:00:00.000,group,Group Stage,0,Costa Rica,Germany,E,E,Luis Fernando Suárez,Hans-Dieter Flick,Costa Rica,Germany,2,4,2-4,2,Al Bayt Stadium,Qatar,Stéphanie Frappart
